time,signal,baseline_orig,baseline_fixed,corr_orig,corr_fixed
7.1,-1.1421276,-2.8751618855460532,-2.8751618855460532,1.7330342855460532,1.7330342855460532
7.116666666666666,-1.1468085,-2.8877462044351163,-2.8877462044351163,1.7409377044351164,1.7409377044351164
7.133333333333334,-1.1514894,-2.898219831455162,-2.898219831455162,1.7467304314551622,1.7467304314551622
7.15,-1.160851,-2.906854855788317,-2.906854855788317,1.746003855788317,1.746003855788317
7.166666666666667,-1.1748936,-2.9139070386946746,-2.9139070386946746,1.7390134386946745,1.7390134386946745
7.183333333333334,-1.2076596,-2.919612276766077,-2.919612276766077,1.711952676766077,1.711952676766077
7.2,-1.2638298,-2.9241843257085525,-2.9241843257085525,1.6603545257085526,1.6603545257085526
7.216666666666667,-1.3574468,-2.927813385350213,-2.927813385350213,1.5703665853502131,1.5703665853502131
7.233333333333333,-1.4931915,-2.9306656110842018,-2.9306656110842018,1.4374741110842018,1.4374741110842018
7.25,-1.6757447,-2.932884388848016,-2.932884388848016,1.257139688848016,1.257139688848016
7.266666666666667,-1.9004256,-2.9345913347637658,-2.9345913347637658,1.0341657347637658,1.0341657347637658
7.283333333333333,-2.1485107,-2.935888008941902,-2.935888008941902,0.787377308941902,0.787377308941902
7.3,-2.3965957,-2.936857626275517,-2.936857626275517,0.5402619262755168,0.5402619262755168
7.316666666666666,-2.6165957,-2.937566872145696,-2.937566872145696,0.32097117214569604,0.32097117214569604
7.333333333333333,-2.7897873,-2.9380676714099736,-2.9380676714099736,0.14828037140997363,0.14828037140997363
7.35,-2.8974469,-2.938398788875984,-2.938398788875984,0.04095188887598411,0.04095188887598411
7.366666666666666,-2.9395745,-2.9385872063868894,-2.9385872063868894,-0.0009872936131105625,0.03171529901137449
7.383333333333334,-2.9161701,-2.938648809146765,-2.938648809146765,0.022478709146764864,0.022478709146764864
7.4,-2.831915,-2.9385895035579064,-2.9385895035579064,0.10667450355790642,0.10667450355790642
7.416666666666667,-2.7055318,-2.9384051033381833,-2.9384051033381833,0.23287330333818312,0.23287330333818312
7.433333333333334,-2.5510638,-2.938081751473472,-2.938081751473472,0.38701795147347173,0.38701795147347173
7.45,-2.387234,-2.9375952294839105,-2.9375952294839105,0.5503612294839106,0.5503612294839106
7.466666666666667,-2.2234042,-2.9369105130382667,-2.9369105130382667,0.7135063130382666,0.7135063130382666
7.483333333333333,-2.068936,-2.935980781614919,-2.935980781614919,0.8670447816149189,0.8670447816149189
7.5,-1.9238298,-2.934746296589014,-2.934746296589014,1.0109164965890138,1.0109164965890138
7.516666666666667,-1.7974468,-2.9331328826932013,-2.9331328826932013,1.1356860826932014,1.1356860826932014
7.533333333333333,-1.694468,-2.9310505404123837,-2.9310505404123837,1.2365825404123836,1.2365825404123836
7.55,-1.600851,-2.928392073129015,-2.928392073129015,1.327541073129015,1.327541073129015
7.566666666666666,-1.5306383,-2.925031725602811,-2.925031725602811,1.394393425602811,1.394393425602811
7.583333333333333,-1.4651064,-2.9208242752687696,-2.9208242752687696,1.4557178752687696,1.4557178752687696
7.6,-1.4182979,-2.9156046685776302,-2.9156046685776302,1.4973067685776302,1.4973067685776302
7.616666666666666,-1.3761702,-2.9091889319871105,-2.9091889319871105,1.5330187319871105,1.5330187319871105
7.633333333333334,-1.3434043,-2.901375112740175,-2.901375112740175,1.5579708127401748,1.5579708127401748
7.65,-1.3153192,-2.8919455215960173,-2.8919455215960173,1.5766263215960172,1.5766263215960172
7.666666666666667,-1.2965957,-2.8806696771602556,-2.8806696771602556,1.5840739771602557,1.5840739771602557
