arquivo,pico,tempo_pico,amplitude,sigma,lambda,area
DCS_E531.csv,4,10.202999450158156,5.333369148287446,0.18167973198877338,9.999999999999998,5.33336914828743
DCS_E533.csv,1,7.743702523571906,2.666658598252765,0.10291967292200668,1.4634251784317929,2.666658598252746
DCS_E533.csv,2,8.559514015715093,11.244084137665775,0.08656080226551423,5.46250121126489,11.24408413766571
DCS_E533.csv,3,9.49380758965764,14.059244678260777,0.09095619767534129,4.490655733106538,14.059244678260843
DCS_E533.csv,4,10.15071994084347,7.138221635588427,0.1596769406092944,6.451290140339639,7.138221635588486
DCS_E534.csv,1,7.77470193821818,2.9861565390466884,0.11132587707081834,1.5027843112793158,2.986156539046679
DCS_E534.csv,2,8.580115979319947,12.329130643005769,0.09199795626725563,5.8281786448035025,12.329130643005799
DCS_E534.csv,3,9.521497992060702,17.429619213209914,0.09285769414113199,4.1563024551791825,17.429619213209833
DCS_E534.csv,4,10.196446661223522,7.527570037641573,0.18026106491952196,9.999999999995481,7.527570037641556
DCS_E535.csv,1,7.774050508399806,2.960977284024775,0.109207663626228,1.5808545724344478,2.9609772840247732
DCS_E535.csv,2,8.579217929947609,12.804375710157514,0.09178432081044947,5.773234557349048,12.804375710157437
DCS_E535.csv,3,9.520833445756764,19.027381049819244,0.09267658107469548,4.1473347500836715,19.027381049819315
DCS_E535.csv,4,10.192417876408557,8.125089499512292,0.18220217633709102,9.999999999987331,8.125089499512217
DCS_E610.csv,1,7.779403958944241,2.4702445992900812,0.11171780248621659,1.9567865850140622,2.4702445992900786
DCS_E610.csv,2,8.570755454523159,11.873273792680152,0.08938123564774515,5.362184386015816,11.873273792680227
DCS_E610.csv,3,9.507140387311937,8.623485828797458,0.09916905280921658,4.065851381464509,8.623485828797458
DCS_E610.csv,4,10.211981091951602,3.477737382273548,0.2056963584081723,9.999999999999998,3.477737382273539
DCS_E611.csv,1,7.763365756495094,3.1318927832233134,0.12759623158410086,1.3506655608612808,3.131892783223026
DCS_E611.csv,2,8.549343490754282,11.835423486077726,0.09159213044722722,5.75451603128869,11.835423486077795
DCS_E611.csv,3,9.509559735432259,12.139907153364465,0.0940257503169411,4.002353373630021,12.13990715336448
DCS_E611.csv,4,10.193490650329936,5.910931767612412,0.18484316242847673,9.999999999999998,5.910931767612409
DCS_E6110.csv,1,7.737064066759798,2.2324408034919627,0.09845728941161035,1.8956282638294135,2.2324408034919645
DCS_E6110.csv,2,8.558207484192087,15.541202504392158,0.08537046854344336,5.368330848229185,15.541202504392144
DCS_E6110.csv,3,9.487001580152437,19.688428449773305,0.08955484730136226,4.2762990086828605,19.688428449773383
DCS_E6110.csv,4,10.15332308917419,8.561442816700843,0.18147356039991933,9.999999999999998,8.561442816700731
DCS_E6111.csv,1,7.738406947163822,2.1131433264971626,0.09679573302554903,1.9260776432220452,2.113143326497162
DCS_E6111.csv,2,8.555169196104549,15.467622612777657,0.08479996334691846,5.354219770409454,15.467622612777664
DCS_E6111.csv,3,9.485470399917583,19.38230475220163,0.08925023514700331,4.285275290154296,19.382304752201716
DCS_E6111.csv,4,10.153993670951103,8.487651338069604,0.17999494424703105,9.999999999999998,8.487651338069645
DCS_E6112.csv,1,7.825217803263859,1.9217573054893144,0.0999988231213289,2.3288891776990317,1.9217573054893153
DCS_E6112.csv,2,8.648873100711313,15.416060037342909,0.08722492243945447,5.589107954822828,15.416060037342803
DCS_E6112.csv,3,9.592677345811985,18.921593554400353,0.08716858448449402,4.116832999100281,18.921593554400374
DCS_E6112.csv,4,10.265522158770912,8.714982430838122,0.1664536217700724,7.012324840990807,8.714982430838123
DCS_E6113.csv,1,7.838661831696206,1.8543414299981142,0.09821137427345776,2.1041752899889112,1.8543414299981136
