arquivo,tempo_pico,amplitude,t0,k,theta,area
DCS_E5206.csv,18.07,0.06981918977446117,17.616666666666667,7.141042596532532,0.07865269093443075,0.06981918977438241
DCS_E5207.csv,7.15,0.9557839865421154,6.700000000000001,7.141042596532532,0.07865269093443075,0.9557839865410374
DCS_E5207.csv,7.93,1.857157407277401,7.483333333333334,7.141042596532532,0.07865269093443075,1.8571574072753065
DCS_E5207.csv,8.67,16.920761379614284,8.216739876361734,7.141042596532532,0.07865269093443075,16.920761379624263
DCS_E5207.csv,9.63,23.60578762416466,9.183333333333334,7.141042596532532,0.07865269093443075,23.60578762413803
DCS_E5207.csv,10.28,9.359217440115964,9.833333333333332,7.141042596532532,0.07865269093443075,9.359217440105406
DCS_E5207.csv,15.02,0.31021526476046357,14.566666666666668,7.141042596532532,0.07865269093443075,0.31021526476011363
DCS_E5207.csv,18.07,0.07313714997447877,17.616666666666667,7.141042596532532,0.07865269093443075,0.07313714997439628
DCS_E5208.csv,7.13,0.9949790041489956,6.6833333333333345,7.141042596532532,0.07865269093443075,0.9949790041478733
DCS_E5208.csv,7.93,1.946361648726185,7.483333333333334,7.141042596532532,0.07865269093443075,1.9463616487239894
DCS_E5208.csv,8.67,17.857240794182122,8.216666666666667,7.141042596532532,0.07865269093443075,17.85724079416198
DCS_E5208.csv,9.63,25.52012748787616,9.183333333333334,7.141042596532532,0.07865269093443075,25.520127487847375
DCS_E5208.csv,10.27,9.91218366311335,9.816666666666668,7.141042596532532,0.07865269093443075,9.912183663102171
DCS_E5208.csv,15.02,0.3321937809259623,14.566666666666668,7.141042596532532,0.07865269093443075,0.33219378092558766
DCS_E5208.csv,18.07,0.09491926150971201,17.616666666666667,7.141042596532532,0.07865269093443075,0.09491926150960496
DCS_E5209.csv,6.13,0.007916901052146263,6.447062103551036,7.141042596532532,0.07865269093443075,0.007916901051705233
DCS_E5209.csv,7.13,1.02157204785401,6.6833333333333345,7.141042596532532,0.07865269093443075,1.0215720478528576
DCS_E5209.csv,7.92,1.988480149090411,7.466666666666668,7.141042596532532,0.07865269093443075,1.9884801490881678
DCS_E5209.csv,8.67,18.307731892046444,8.216666666666667,7.141042596532532,0.07865269093443075,18.307731892025792
DCS_E5209.csv,9.63,26.74435766966903,9.183333333333334,7.141042596532532,0.07865269093443075,26.744357669638863
DCS_E5209.csv,10.27,10.329042752308686,9.816666666666668,7.141042596532532,0.07865269093443075,10.329042752297037
DCS_E5209.csv,15.02,0.33979347040106483,14.566666666666668,7.141042596532532,0.07865269093443075,0.33979347040068153
DCS_E5209.csv,18.05,0.06913780900959215,17.600000000000005,7.141042596532532,0.07865269093443075,0.06913780900951416
DCS_E5210.csv,7.13,0.9517967691380229,6.6833333333333345,7.141042596532532,0.07865269093443075,0.9517967691369493
