arquivo,nivel_amostra,replica,pico,tempo_pico,analito,tempo_pico_padrao,A,concentracao_gL
ESTR6-2.csv,,,7,17.850000,,,0.500127,
ESTR6-2.csv,,,8,21.883333,,,0.351360,
ESTR6-3.csv,,,1,7.816667,,,0.629397,
ESTR6-3.csv,,,2,8.283333,,,1.000160,
ESTR6-3.csv,,,3,9.216667,Celobiose,8.810560,2.236464,0.497951
ESTR6-3.csv,,,4,10.050000,,,30.971575,
ESTR6-3.csv,,,5,11.350000,Glicose,10.936973,33.647706,8.230170
ESTR6-3.csv,,,6,12.150000,Xilose,11.723015,12.120978,3.843583
ESTR6-3.csv,,,7,17.850000,,,0.497494,
ESTR6-3.csv,,,8,21.883333,,,0.365611,
ESTR7-1.csv,,,1,7.816667,,,0.608531,
ESTR7-1.csv,,,2,8.283333,,,0.947451,
ESTR7-1.csv,,,3,9.216667,Celobiose,8.810560,2.167411,0.482856
ESTR7-1.csv,,,4,10.050000,,,29.919907,
ESTR7-1.csv,,,5,11.350000,Glicose,10.936973,33.689328,8.240316
ESTR7-1.csv,,,6,12.150000,Xilose,11.723015,11.994940,3.803735
ESTR7-1.csv,,,7,17.850000,,,0.502494,
ESTR7-1.csv,,,8,21.883333,,,0.351771,
ESTR7-2.csv,,,1,7.816667,,,0.629590,
ESTR7-2.csv,,,2,8.283333,,,0.978721,
ESTR7-2.csv,,,3,9.216667,Celobiose,8.810560,2.228516,0.496213
ESTR7-2.csv,,,4,10.050000,,,30.841797,
ESTR7-2.csv,,,5,11.350000,Glicose,10.936973,34.737509,8.495844
ESTR7-2.csv,,,6,12.150000,Xilose,11.723015,12.376418,3.924343
ESTR7-2.csv,,,7,17.850000,,,0.512456,
ESTR7-2.csv,,,8,21.883333,,,0.360232,
ESTR7-3.csv,,,1,7.816667,,,0.623482,
ESTR7-3.csv,,,2,8.283333,,,0.973346,
ESTR7-3.csv,,,3,9.216667,Celobiose,8.810560,2.234539,0.497530
ESTR7-3.csv,,,4,10.050000,,,31.025903,
ESTR7-3.csv,,,5,11.350000,Glicose,10.936973,34.927898,8.542258
ESTR7-3.csv,,,6,12.150000,Xilose,11.723015,12.434335,3.942655
ESTR7-3.csv,,,7,17.850000,,,0.504488,
ESTR7-3.csv,,,8,21.883333,,,0.350075,
ESTR8-1.csv,,,1,7.816667,,,0.568207,
ESTR8-1.csv,,,2,8.283333,,,0.890656,
ESTR8-1.csv,,,3,9.216667,Celobiose,8.810560,2.091780,0.466323
ESTR8-1.csv,,,4,10.050000,,,29.064194,
ESTR8-1.csv,,,5,11.350000,Glicose,10.936973,33.722411,8.248382
ESTR8-1.csv,,,6,12.150000,Xilose,11.723015,11.885497,3.769133
ESTR8-1.csv,,,7,17.850000,,,0.485257,
ESTR8-1.csv,,,8,21.883333,,,0.352601,
ESTR8-2.csv,,,1,7.816667,,,0.586343,
ESTR8-2.csv,,,2,8.283333,,,0.916964,
ESTR8-2.csv,,,3,9.216667,Celobiose,8.810560,2.153136,0.479736
ESTR8-2.csv,,,4,10.050000,,,29.867882,
ESTR8-2.csv,,,5,11.350000,Glicose,10.936973,34.681276,8.482136
ESTR8-2.csv,,,6,12.150000,Xilose,11.723015,12.228638,3.877621
ESTR8-2.csv,,,7,17.850000,,,0.506635,
ESTR8-2.csv,,,8,21.883333,,,0.350452,
ESTR8-3.csv,,,1,7.816667,,,0.623963,
ESTR8-3.csv,,,2,8.283333,,,0.958549,
ESTR8-3.csv,,,3,9.216667,Celobiose,8.810560,2.227764,0.496049
ESTR8-3.csv,,,4,10.050000,,,30.919421,
ESTR8-3.csv,,,5,11.350000,Glicose,10.936973,35.901580,8.779624
ESTR8-3.csv,,,6,12.150000,Xilose,11.723015,12.655680,4.012635
ESTR8-3.csv,,,7,17.850000,,,0.528049,
ESTR8-3.csv,,,8,21.883333,,,0.361366,
ESTR9-1.csv,,,1,7.816667,,,0.619045,
ESTR9-1.csv,,,2,8.283333,,,0.939381,
ESTR9-1.csv,,,3,9.216667,Celobiose,8.810560,2.219391,0.494219
ESTR9-1.csv,,,4,10.050000,,,30.822449,
ESTR9-1.csv,,,5,11.350000,Glicose,10.936973,36.644023,8.960618
ESTR9-1.csv,,,6,12.150000,Xilose,11.723015,12.823543,4.065707
ESTR9-1.csv,,,7,17.850000,,,0.531863,
ESTR9-1.csv,,,8,21.883333,,,0.351555,
ESTR9-2.csv,,,1,7.816667,,,0.640547,
ESTR9-2.csv,,,2,8.283333,,,0.973654,
ESTR9-2.csv,,,3,9.216667,Celobiose,8.810560,2.311624,0.514381
ESTR9-2.csv,,,4,10.066667,,,32.067855,
ESTR9-2.csv,,,5,11.350000,Glicose,10.936973,38.178792,9.334767
ESTR9-2.csv,,,6,12.150000,Xilose,11.723015,13.386939,4.243831
ESTR9-2.csv,,,7,17.866667,,,0.552842,
ESTR9-2.csv,,,8,21.883333,,,0.396183,
ESTR9-3.csv,,,1,6.983333,,,0.110030,
ESTR9-3.csv,,,2,7.833333,,,0.655424,
ESTR9-3.csv,,,3,8.283333,,,0.974305,
ESTR9-3.csv,,,4,9.216667,Celobiose,8.810560,2.293258,0.510366
ESTR9-3.csv,,,5,10.050000,,,31.772031,
ESTR9-3.csv,,,6,11.350000,Glicose,10.936973,37.796671,9.241613
ESTR9-3.csv,,,7,12.150000,Xilose,11.723015,13.225884,4.192912
ESTR9-3.csv,,,8,17.850000,,,0.542425,
ESTR9-3.csv,,,9,21.883333,,,0.336900,
