arquivo,nivel_amostra,replica,pico,tempo_pico,analito,tempo_pico_padrao,A,concentracao_gL
E0821.csv,2,1,4,11.466667,Glicose,,5.579715,1.387701
E0821.csv,2,1,5,12.250000,Xilose,,3.246456,1.037806
E0821.csv,2,1,6,17.966667,,,0.182371,
E0821.csv,2,1,7,21.966667,,,0.358405,
E0822.csv,2,2,1,8.516667,,,0.294084,
E0822.csv,2,2,2,9.333333,Celobiose,,0.405925,0.097796
E0822.csv,2,2,3,10.200000,,,28.796571,
E0822.csv,2,2,4,11.466667,Glicose,,5.779120,1.436312
E0822.csv,2,2,5,12.250000,Xilose,,3.380791,1.080277
E0822.csv,2,2,6,17.950000,,,0.230016,
E0822.csv,2,2,7,21.966667,,,0.373551,
E0823.csv,2,3,1,8.533333,,,0.276416,
E0823.csv,2,3,2,9.333333,Celobiose,,0.397435,0.095940
E0823.csv,2,3,3,10.200000,,,28.639905,
E0823.csv,2,3,4,11.450000,Glicose,,5.764820,1.432826
E0823.csv,2,3,5,12.250000,Xilose,,3.373717,1.078041
E0823.csv,2,3,6,17.966667,,,0.179610,
E0823.csv,2,3,7,21.983333,,,0.354774,
E0831.csv,3,1,1,8.533333,,,0.327421,
E0831.csv,3,1,2,9.333333,Celobiose,,0.438965,0.105018
E0831.csv,3,1,3,10.200000,,,30.204777,
E0831.csv,3,1,4,11.450000,Glicose,,7.707002,1.906295
E0831.csv,3,1,5,12.250000,Xilose,,4.324754,1.378721
E0831.csv,3,1,6,17.966667,,,0.225600,
E0831.csv,3,1,7,21.966667,,,0.366022,
E0832.csv,3,2,1,8.533333,,,0.317942,
E0832.csv,3,2,2,9.333333,Celobiose,,0.428133,0.102650
E0832.csv,3,2,3,10.200000,,,29.966539,
E0832.csv,3,2,4,11.466667,Glicose,,7.662908,1.895546
E0832.csv,3,2,5,12.250000,Xilose,,4.304080,1.372185
E0832.csv,3,2,6,17.966667,,,0.214011,
E0832.csv,3,2,7,21.966667,,,0.367561,
E0833.csv,3,3,1,8.550000,,,0.309058,
E0833.csv,3,3,2,9.350000,Celobiose,,0.416626,0.100135
E0833.csv,3,3,3,10.200000,,,29.829993,
E0833.csv,3,3,4,11.466667,Glicose,,7.610279,1.882716
E0833.csv,3,3,5,12.250000,Xilose,,4.255796,1.356919
E0833.csv,3,3,6,17.966667,,,0.186681,
E0833.csv,3,3,7,21.966667,,,0.340504,
E0841.csv,4,1,1,8.533333,,,0.337090,
E0841.csv,4,1,2,9.333333,Celobiose,,0.464830,0.110672
E0841.csv,4,1,3,10.200000,,,30.931942,
E0841.csv,4,1,4,11.450000,Glicose,,9.148029,2.257591
E0841.csv,4,1,5,12.250000,Xilose,,4.818953,1.534968
E0841.csv,4,1,6,17.950000,,,0.188960,
E0841.csv,4,1,7,21.966667,,,0.288486,
E0842.csv,4,2,1,8.533333,,,0.327465,
E0842.csv,4,2,2,9.333333,Celobiose,,0.451064,0.107663
E0842.csv,4,2,3,10.216667,,,31.695735,
E0842.csv,4,2,4,11.466667,Glicose,,9.394664,2.317717
E0842.csv,4,2,5,12.250000,Xilose,,4.934710,1.571566
